,Geo 2,US and Canada,,,,,,,,Europe and Central Asia,Sub-Saharan Africa,,Latin America and the Caribbean,,,,,,,Europe and Central Asia,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geo 3,,,,,,,,,,,,Europe and Central Asia,,,,,,,South Asia,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geo 4,,,,,,,,,,,,,,,,,,,East and Southeast Asia,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geo 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geo 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geo 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires Innovation Park (City of Buenos Aires Government),Latin America and the Caribbean,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C L Sandberg & Associates,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital One,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classroom Inc,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Capital,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covestro LLC,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danaher,"US and Canada,Sub-Saharan Africa",1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGITAL CITIZEN FUND,East and Southeast Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draper Richards Kaplan Foundation,Sub-Saharan Africa,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Mae,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Community Investments,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Salinas,Latin America and the Caribbean,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Institute of the Caribbean,"Latin America and the Caribbean,Sub-Saharan Africa",0,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henkel (Charles Paul),US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henkel,"US and Canada,Europe and Central Asia",1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPACT2030,"US and Canada,Latin America and the Caribbean,Sub-Saharan Africa,Middle East and North Africa",1,1,1,0,0,1,0,1,1,2,0,2,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Norway,Europe and Central Asia,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Przybocki,"US and Canada,Latin America and the Caribbean",1,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSF Impact,"Latin America and the Caribbean,Sub-Saharan Africa,East and Southeast Asia",0,0,1,0,0,1,0,0,1,2,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLamasoft,"US and Canada,Latin America and the Caribbean,Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa,South Asia,East and Southeast Asia,Oceania",2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannin Research Inc.,"US and Canada,Europe and Central Asia",1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Cecilia Souto Vidigal Foundation,"US and Canada,Latin America and the Caribbean,East and Southeast Asia",1,1,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,2,0,1,1,1,1,1,1,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniwiz,"US and Canada,Europe and Central Asia",1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT (Ken Zolot),"US and Canada,Middle East and North Africa",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT Environmental Solutions Initative (John Fernandez),"US and Canada,Latin America and the Caribbean,Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa,South Asia,East and Southeast Asia,Oceania",2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT Governance Lab (GOV/LAB),"Latin America and the Caribbean,Sub-Saharan Africa",0,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Health Department,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northrop Grumman Corporation,"US and Canada,Europe and Central Asia,Middle East and North Africa,East and Southeast Asia",1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,3,0,1,1,0,0,1,0,1,0,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam Associates,"US and Canada,Europe and Central Asia,South Asia",2,1,0,1,1,0,1,1,1,0,1,2,0,1,0,1,0,0,3,1,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Wood Johnson Foundation,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save the Children,"US and Canada,Latin America and the Caribbean,Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa,South Asia,East and Southeast Asia,Oceania",2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmidt Marine Technology Partners,"US and Canada,Latin America and the Caribbean,Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa,South Asia,East and Southeast Asia,Oceania",2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sitra,"Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa",0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terranova Corporation,"US and Canada,Latin America and the Caribbean,Europe and Central Asia",1,1,1,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kroger Co. Zero Hunger Zero Waste Foundation,US and Canada,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pershing Square Foundation,"US and Canada,Latin America and the Caribbean,East and Southeast Asia",1,1,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,2,0,1,1,1,1,1,1,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uber,"US and Canada,Latin America and the Caribbean,Europe and Central Asia,Sub-Saharan Africa,Middle East and North Africa,South Asia,Oceania",2,1,1,1,1,1,1,1,2,2,1,3,1,1,0,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yum! Brands,"US and Canada,Europe and Central Asia,East and Southeast Asia",1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,3,0,1,1,0,0,1,0,1,0,0,0,1,0
